,depth,vp,vs,rho,qp,qs
0,2891.0,8.05675518,0.0,9.90594642984823,57822.0,0.0
1,2902.919191919192,8.076784701136363,0.0,9.924704296688846,57822.0,0.0
2,2914.838383838384,8.096814222272727,0.0,9.943462170711307,57822.0,0.0
3,2926.757575757576,8.11684374340909,0.0,9.962220051862444,57822.0,0.0
4,2938.6767676767677,8.136873264545454,0.0,9.980977940089598,57822.0,0.0
5,2950.59595959596,8.156902785681817,0.0,9.999735835340637,57822.0,0.0
6,2962.5151515151515,8.176932306818182,0.0,10.018493737563935,57822.0,0.0
7,2974.4343434343436,8.196707511818182,0.0,10.037064591156078,57822.0,0.0
8,2986.3535353535353,8.215854406363635,0.0,10.055173313862012,57822.0,0.0
9,2998.2727272727275,8.23500130090909,0.0,10.07328204260256,57822.0,0.0
10,3010.191919191919,8.254148195454544,0.0,10.091390777335729,57822.0,0.0
11,3022.1111111111113,8.27329509,0.0,10.109499518019897,57822.0,0.0
12,3034.030303030303,8.292441984545455,0.0,10.127608264613835,57822.0,0.0
13,3045.949494949495,8.311588879090909,0.0,10.145717017076697,57822.0,0.0
14,3057.868686868687,8.330735773636363,0.0,10.163825775368009,57822.0,0.0
15,3069.787878787879,8.349882668181818,0.0,10.181934539447665,57822.0,0.0
16,3081.7070707070707,8.368172784,0.0,10.199398839045822,57822.0,0.0
17,3093.626262626263,8.386365906,0.0,10.216790184752936,57822.0,0.0
18,3105.5454545454545,8.404559028,0.0,10.234181535392668,57822.0,0.0
19,3117.4646464646466,8.422752149999999,0.0,10.251572890933048,57822.0,0.0
20,3129.3838383838383,8.440945272,0.0,10.268964251342378,57822.0,0.0
21,3141.3030303030305,8.459138394,0.0,10.286355616589246,57822.0,0.0
22,3153.222222222222,8.477331516,0.0,10.303746986642492,57822.0,0.0
23,3165.1414141414143,8.495524638,0.0,10.321138361471244,57822.0,0.0
24,3177.060606060606,8.51325034909091,0.0,10.338171608375267,57822.0,0.0
25,3188.979797979798,8.530524229636365,0.0,10.354858664605626,57822.0,0.0
26,3200.89898989899,8.547798110181818,0.0,10.371545724896103,57822.0,0.0
27,3212.818181818182,8.565071990727272,0.0,10.38823278922212,57822.0,0.0
28,3224.7373737373737,8.582345871272727,0.0,10.404919857559303,57822.0,0.0
29,3236.656565656566,8.599619751818182,0.0,10.421606929883485,57822.0,0.0
30,3248.5757575757575,8.616893632363636,0.0,10.438294006170679,57822.0,0.0
31,3260.4949494949497,8.634167512909091,0.0,10.4549810863971,57822.0,0.0
32,3272.4141414141413,8.65133699290909,0.0,10.471586726365958,57822.0,0.0
33,3284.3333333333335,8.667730926,0.0,10.487587356073623,57822.0,0.0
34,3296.252525252525,8.68412485909091,0.0,10.503587989124954,57822.0,0.0
35,3308.1717171717173,8.70051879218182,0.0,10.519588625501049,57822.0,0.0
36,3320.090909090909,8.716912725272728,0.0,10.535589265183146,57822.0,0.0
37,3332.010101010101,8.733306658363638,0.0,10.551589908152625,57822.0,0.0
38,3343.929292929293,8.749700591454546,0.0,10.567590554390998,57822.0,0.0
39,3355.848484848485,8.766094524545455,0.0,10.583591203879934,57822.0,0.0
40,3367.7676767676767,8.782488457636365,0.0,10.599591856601213,57822.0,0.0
41,3379.686868686869,8.798267107636363,0.0,10.61510176157222,57822.0,0.0
42,3391.6060606060605,8.822639454545454,0.0,10.628019393939395,57822.0,0.0
43,3403.5252525252527,8.838204727272728,0.0,10.643347474747475,57822.0,0.0
